#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,200000.0,0.1250,-0.35,157.61
2,204364.4,0.1250,-0.37,157.04
3,208824.1,0.1250,-0.38,156.47
4,213381.1,0.1250,-0.39,156.05
5,218037.5,0.1250,-0.41,155.56
6,222795.6,0.1250,-0.42,154.94
7,227657.4,0.1250,-0.44,154.46
8,232625.4,0.1250,-0.46,153.82
9,237701.8,0.1250,-0.47,153.25
10,242888.9,0.1250,-0.47,152.86
11,248189.3,0.1250,-0.50,152.18
12,253605.3,0.1250,-0.52,151.52
13,259139.5,0.1250,-0.52,151.05
14,264794.5,0.1250,-0.57,150.29
15,270572.9,0.1250,-0.58,149.68
16,276477.4,0.1250,-0.61,149.08
17,282510.7,0.1250,-0.62,148.33
18,288675.7,0.1250,-0.64,147.73
19,294975.2,0.1250,-0.65,147.08
20,301412.2,0.1250,-0.70,146.35
21,307989.6,0.1250,-0.71,145.63
22,314710.6,0.1250,-0.74,145.12
23,321578.3,0.1250,-0.76,144.41
24,328595.8,0.1250,-0.80,143.62
25,335766.5,0.1250,-0.80,142.82
26,343093.6,0.1250,-0.85,142.10
27,350580.7,0.1250,-0.91,141.45
28,358231.1,0.1250,-0.92,140.71
29,366048.5,0.1250,-0.93,139.80
30,374036.4,0.1250,-0.98,139.22
31,382198.7,0.1250,-1.00,138.45
32,390539.1,0.1250,-1.05,137.45
33,399061.5,0.1250,-1.09,136.65
34,407769.8,0.1250,-1.10,135.89
35,416668.3,0.1250,-1.13,135.04
36,425760.8,0.1250,-1.19,134.23
37,435051.9,0.1250,-1.22,133.25
38,444545.6,0.1250,-1.26,132.42
39,454246.5,0.1250,-1.29,131.43
40,464159.2,0.1250,-1.34,130.55
41,474288.1,0.1250,-1.39,129.66
42,484638.1,0.1250,-1.42,128.52
43,495213.9,0.1250,-1.45,127.67
44,506020.6,0.1250,-1.49,126.69
45,517063.0,0.1250,-1.56,125.81
46,528346.4,0.1250,-1.59,124.62
47,539876.1,0.1250,-1.64,123.63
48,551657.3,0.1250,-1.71,122.64
49,563695.7,0.1250,-1.75,121.58
50,575996.7,0.1250,-1.82,120.63
51,588566.2,0.1250,-1.84,119.49
52,601410.0,0.1250,-1.91,118.33
53,614534.0,0.1250,-1.93,117.11
54,627944.5,0.1250,-2.02,116.00
55,641647.5,0.1250,-2.01,114.91
56,655649.7,0.1250,-2.09,113.93
57,669957.3,0.1250,-2.16,112.78
58,684577.2,0.1250,-2.28,111.07
59,699516.2,0.1250,-2.34,109.98
60,714781.1,0.1250,-2.35,109.10
61,730379.2,0.1250,-2.43,107.89
62,746317.6,0.1250,-2.48,106.84
63,762603.8,0.1250,-2.57,105.24
64,779245.5,0.1250,-2.58,103.79
65,796250.3,0.1250,-2.66,102.65
66,813626.2,0.1250,-2.68,101.41
67,831381.2,0.1250,-2.82,99.82
68,849523.7,0.1250,-2.83,98.37
69,868062.2,0.1250,-2.90,97.61
70,887005.1,0.1250,-2.99,95.93
71,906361.5,0.1250,-3.06,94.59
72,926140.2,0.1250,-3.07,93.31
73,946350.6,0.1250,-3.09,91.83
74,967002.0,0.1250,-3.13,90.35
75,988104.0,0.1250,-3.20,88.76
76,1009666.6,0.1250,-3.33,87.14
77,1031699.6,0.1250,-3.29,86.10
78,1054213.5,0.1250,-3.32,84.37
79,1077218.7,0.1250,-3.40,82.92
80,1100725.9,0.1250,-3.52,80.84
81,1124746.1,0.1250,-3.50,79.13
82,1149290.5,0.1250,-3.62,77.34
83,1174370.4,0.1250,-3.58,75.51
84,1199997.7,0.1250,-3.70,73.76
85,1226184.2,0.1250,-3.72,71.57
86,1252942.2,0.1250,-3.77,70.69
87,1280284.1,0.1250,-3.80,68.70
88,1308222.6,0.1250,-3.79,67.02
89,1336770.8,0.1250,-3.92,63.78
90,1365942.0,0.1250,-3.99,62.53
91,1395749.8,0.1250,-3.96,60.41
92,1426208.0,0.1250,-4.05,58.43
93,1457330.9,0.1250,-4.13,55.45
94,1489133.0,0.1250,-4.14,54.23
95,1521629.0,0.1250,-4.14,51.29
96,1554834.2,0.1250,-4.15,48.27
97,1588764.0,0.1250,-4.28,46.41
98,1623434.3,0.1250,-4.26,44.24
99,1658861.1,0.1250,-4.20,41.52
100,1695061.0,0.1250,-4.33,38.00
101,1732050.8,0.1250,-4.33,36.12
102,1769847.9,0.1250,-4.64,33.29
103,1808469.7,0.1250,-4.56,31.54
104,1847934.4,0.1250,-4.44,27.57
105,1888260.3,0.1250,-4.44,25.27
106,1929466.1,0.1250,-4.40,21.72
107,1971571.2,0.1250,-4.66,18.96
108,2014595.1,0.1250,-4.37,15.24
109,2058557.9,0.1250,-4.57,12.53
110,2103480.0,0.1250,-4.66,8.62
111,2149382.4,0.1250,-4.69,4.28
112,2196286.5,0.1250,-4.75,0.52
113,2244214.2,0.1250,-4.73,-0.74
114,2293187.7,0.1250,-4.67,-6.86
115,2343230.0,0.1250,-4.87,-9.39
116,2394364.3,0.1250,-4.94,-12.70
117,2446614.4,0.1250,-4.71,-18.01
118,2500004.8,0.1250,-4.80,-21.42
119,2554560.2,0.1250,-4.89,-26.05
120,2610306.2,0.1250,-5.06,-30.73
121,2667268.6,0.1250,-4.51,-33.90
