#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,1000000,0.125,-3.25,88.18
2,1046168.2,0.125,-3.41,84.62
3,1094467.9,0.125,-3.51,81.76
4,1144997.6,0.125,-3.6,77.55
5,1197860.1,0.125,-3.71,74.14
6,1253163.1,0.125,-3.83,70.66
7,1311019.4,0.125,-3.87,65.64
8,1371546.8,0.125,-3.99,61.9
9,1434868.7,0.125,-4.13,57.1
10,1501114,0.125,-4.32,52.81
11,1570417.8,0.125,-4.2,48.24
12,1642921.2,0.125,-4.34,42.86
13,1718771.9,0.125,-4.27,38.9
14,1798124.6,0.125,-4.38,30.4
15,1881140.8,0.125,-4.55,25.5
16,1967989.7,0.125,-4.6,18.81
17,2058848.2,0.125,-4.66,12.33
18,2153901.6,0.125,-4.47,2.62
19,2253343.4,0.125,-4.96,-2.92
20,2357376.2,0.125,-4.77,-10.17
21,2466212.1,0.125,-4.82,-18.7
22,2580072.7,0.125,-4.8,-26.77
23,2699190,0.125,-5.09,-39.72
24,2823806.8,0.125,-4.88,-44.99
25,2954176.9,0.125,-4.91,-57.44
26,3090566,0.125,-5.11,-68.61
27,3233251.9,0.125,-5.21,-81.47
28,3382525.4,0.125,-5.52,-92.33
29,3538690.6,0.125,-5.78,-108.56
30,3702065.6,0.125,-6.13,-125.03
31,3872983.3,0.125,-5.62,-140.07
32,4051792.1,0.125,-5.94,-152.8
33,4238856.1,0.125,-7.16,185.61
34,4434556.5,0.125,-7.21,165.9
35,4639292.1,0.125,-8.1,151.58
36,4853479.9,0.125,-9.32,126.53
37,5077556.4,0.125,-9.71,104.22
38,5311978.1,0.125,-10.82,77.24
39,5557222.7,0.125,-12.3,51.87
40,5813789.7,0.125,-14.71,29.88
41,6082202,0.125,-16.83,4.7
42,6363006.4,0.125,-19.49,-15.18
43,6656775.1,0.125,-22.75,-40.14
44,6964106.5,0.125,-24.37,-68
45,7285626.8,0.125,-28.21,-85.22
46,7621991.2,0.125,-30.38,-94.05
47,7973885,0.125,-33.52,-115.22
48,8342025,0.125,-37.75,-140.76
49,8727161.4,0.125,-37.82,-161.64
50,9130078.8,0.125,-39.44,-135.01
51,9551598.3,0.125,-48.76,150.07
52,9992578.5,0.125,-54.92,77.85
53,10453918,0.125,-42.52,-130.57
54,10936556.8,0.125,-45.8,123.43
55,11441478.1,0.125,-50.8,-20.98
56,11969710.7,0.125,-48.63,149.47
57,12522330.9,0.125,-51.92,36.56
58,13100464.5,0.125,-57.42,155.85
59,13705289.6,0.125,-54.75,100.09
60,14338038.4,0.125,-54.22,-33.47
61,15000000,0.125,-56.91,41.19
